action,file,new,new_action,old,old_action,reason,step_id,tag,task_idx,type
,00022-gmuS7Wgsbrx/tasks-island_0.json,Rinse the dishes in the dishwasher.,,Rinse the dishwasher.,,patient drift: dishes is real patient,4,,276,FIX_B
turn_on,00688-SgkmkWjjmDJ/tasks-island_0.json,,,,,,2,vocab_gap:no_ignite_action,47,FLAG
turn_on,00720-8B43pG641ff/tasks-island_0.json,,,,,,4,vocab_gap:no_ignite_action,43,FLAG
turn_on,00720-8B43pG641ff/tasks-island_0.json,,,,,,3,vocab_gap:no_ignite_action,65,FLAG
turn_on,00720-8B43pG641ff/tasks-island_0.json,,,,,,5,vocab_gap:no_ignite_action,88,FLAG
turn_on,00720-8B43pG641ff/tasks-island_0.json,,,,,,1,vocab_gap:no_ignite_action,119,FLAG
turn_on,00720-8B43pG641ff/tasks-island_0.json,,,,,,3,vocab_gap:no_ignite_action,167,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,4,vocab_gap:no_ignite_action,1,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,2,vocab_gap:no_ignite_action,27,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,3,vocab_gap:no_ignite_action,45,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,3,vocab_gap:no_ignite_action,60,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,6,vocab_gap:no_ignite_action,95,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,3,vocab_gap:no_ignite_action,111,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,2,vocab_gap:no_ignite_action,131,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,5,vocab_gap:no_ignite_action,162,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,3,vocab_gap:no_ignite_action,178,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,3,vocab_gap:no_ignite_action,189,FLAG
turn_on,00723-hWDDQnSDMXb/tasks-island_1.json,,,,,,3,vocab_gap:no_ignite_action,192,FLAG
turn_on,00741-w8GiikYuFRk/tasks-island_0.json,,,,,,2,vocab_gap:no_ignite_action,15,FLAG
